"";"caudal";"caudalparcial";"hydrodatetime"
"991";0,829;0,475;2024-08-07 07:00:00
"992";0,829;0,475;2024-08-07 07:10:00
"993";0,828;0,475;2024-08-07 07:20:00
"994";0,827;0,475;2024-08-07 07:30:00
"995";0,827;0,475;2024-08-07 07:40:00
"996";0,827;0,475;2024-08-07 07:50:00
"997";0,825;0,475;2024-08-07 08:00:00
"998";0,824;0,475;2024-08-07 08:10:00
"999";0,822;0,475;2024-08-07 08:20:00
"1000";0,821;0,475;2024-08-07 08:30:00
"1001";0,765;0,422;2024-08-07 08:40:00
"1002";0,771;0,439;2024-08-07 08:50:00
"1003";0,694;0,406;2024-08-07 09:00:00
"1004";0,669;0,406;2024-08-07 09:10:00
"1005";0,655;0,403;2024-08-07 09:20:00
"1006";0,648;0,403;2024-08-07 09:30:00
"1007";0,644;0,403;2024-08-07 09:40:00
"1008";0,642;0,403;2024-08-07 09:50:00
"1009";0,64;0,403;2024-08-07 10:00:00
"1010";0,641;0,403;2024-08-07 10:10:00
"1011";0,656;0,406;2024-08-07 10:20:00
"1012";0,699;0,413;2024-08-07 10:30:00
"1013";0,746;0,419;2024-08-07 10:40:00
"1014";0,769;0,419;2024-08-07 10:50:00
"1015";0,784;0,422;2024-08-07 11:00:00
"1016";0,79;0,422;2024-08-07 11:10:00
"1017";0,791;0,422;2024-08-07 11:20:00
"1018";0,79;0,422;2024-08-07 11:30:00
"1019";0,784;0,419;2024-08-07 11:40:00
"1020";0,776;0,419;2024-08-07 11:50:00
"1021";0,766;0,419;2024-08-07 12:00:00
"1022";0,754;0,416;2024-08-07 12:10:00
"1023";0,746;0,416;2024-08-07 12:20:00
"1024";0,74;0,416;2024-08-07 12:30:00
"1025";0,738;0,416;2024-08-07 12:40:00
"1026";0,736;0,416;2024-08-07 12:50:00
"1027";0,734;0,416;2024-08-07 13:00:00
"1028";0,734;0,416;2024-08-07 13:10:00
"1029";0,734;0,416;2024-08-07 13:20:00
"1030";0,741;0,419;2024-08-07 13:30:00
"1031";0,748;0,419;2024-08-07 13:40:00
"1032";0,754;0,419;2024-08-07 13:50:00
"1033";0,758;0,419;2024-08-07 14:00:00
"1034";0,759;0,419;2024-08-07 14:10:00
"1035";0,76;0,419;2024-08-07 14:20:00
"1036";0,76;0,419;2024-08-07 14:30:00
"1037";0,76;0,419;2024-08-07 14:40:00
"1038";0,76;0,419;2024-08-07 14:50:00
"1039";0,761;0,419;2024-08-07 15:00:00
"1040";0,761;0,419;2024-08-07 15:10:00
"1041";0,761;0,419;2024-08-07 15:20:00
"1042";0,761;0,419;2024-08-07 15:30:00
"1043";0,76;0,419;2024-08-07 15:40:00
"1044";0,759;0,419;2024-08-07 15:50:00
"1045";0,759;0,419;2024-08-07 16:00:00
"1046";0,759;0,419;2024-08-07 16:10:00
"1047";0,758;0,419;2024-08-07 16:20:00
"1048";0,754;0,419;2024-08-07 16:30:00
"1049";0,746;0,419;2024-08-07 16:40:00
"1050";0,736;0,416;2024-08-07 16:50:00
"1051";0,73;0,416;2024-08-07 17:00:00
"1052";0,726;0,416;2024-08-07 17:10:00
"1053";0,724;0,416;2024-08-07 17:20:00
"1054";0,722;0,416;2024-08-07 17:30:00
"1055";0,721;0,416;2024-08-07 17:40:00
"1056";0,719;0,416;2024-08-07 17:50:00
"1057";0,719;0,416;2024-08-07 18:00:00
"1058";0,719;0,416;2024-08-07 18:10:00
"1059";0,719;0,416;2024-08-07 18:20:00
"1060";0,721;0,416;2024-08-07 18:30:00
"1061";0,725;0,416;2024-08-07 18:40:00
"1062";0,733;0,419;2024-08-07 18:50:00
"1063";0,738;0,419;2024-08-07 19:00:00
"1064";0,741;0,419;2024-08-07 19:10:00
"1065";0,744;0,419;2024-08-07 19:20:00
"1066";0,746;0,419;2024-08-07 19:30:00
"1067";0,747;0,419;2024-08-07 19:40:00
"1068";0,748;0,419;2024-08-07 19:50:00
"1069";0,749;0,419;2024-08-07 20:00:00
"1070";0,749;0,419;2024-08-07 20:10:00
"1071";0,75;0,419;2024-08-07 20:20:00
"1072";0,751;0,419;2024-08-07 20:30:00
"1073";0,751;0,419;2024-08-07 20:40:00
"1074";0,751;0,419;2024-08-07 20:50:00
"1075";0,75;0,419;2024-08-07 21:00:00
"1076";0,749;0,419;2024-08-07 21:10:00
"1077";0,749;0,419;2024-08-07 21:20:00
"1078";0,75;0,419;2024-08-07 21:30:00
"1079";0,75;0,419;2024-08-07 21:40:00
"1080";0,75;0,419;2024-08-07 21:50:00
"1081";0,749;0,419;2024-08-07 22:00:00
"1082";0,749;0,419;2024-08-07 22:10:00
"1083";0,748;0,419;2024-08-07 22:20:00
"1084";0,748;0,419;2024-08-07 22:30:00
"1085";0,748;0,419;2024-08-07 22:40:00
"1086";0,748;0,419;2024-08-07 22:50:00
"1087";0,749;0,419;2024-08-07 23:00:00
"1088";0,749;0,419;2024-08-07 23:10:00
"1089";0,749;0,419;2024-08-07 23:20:00
"1090";0,749;0,419;2024-08-07 23:30:00
"1091";0,749;0,419;2024-08-07 23:40:00
"1092";0,748;0,419;2024-08-07 23:50:00
"1093";0,746;0,416;2024-08-08
"1094";0,749;0,419;2024-08-08 00:10:00
"1095";0,749;0,419;2024-08-08 00:20:00
"1096";0,748;0,419;2024-08-08 00:30:00
"1097";0,748;0,419;2024-08-08 00:40:00
"1098";0,748;0,419;2024-08-08 00:50:00
"1099";0,748;0,419;2024-08-08 01:00:00
"1100";0,748;0,419;2024-08-08 01:10:00
"1101";0,748;0,419;2024-08-08 01:20:00
"1102";0,749;0,419;2024-08-08 01:30:00
"1103";0,749;0,419;2024-08-08 01:40:00
"1104";0,751;0,419;2024-08-08 01:50:00
"1105";0,752;0,419;2024-08-08 02:00:00
"1106";0,753;0,419;2024-08-08 02:10:00
"1107";0,753;0,419;2024-08-08 02:20:00
"1108";0,753;0,419;2024-08-08 02:30:00
"1109";0,753;0,419;2024-08-08 02:40:00
"1110";0,754;0,419;2024-08-08 02:50:00
"1111";0,755;0,419;2024-08-08 03:00:00
"1112";0,755;0,419;2024-08-08 03:10:00
"1113";0,755;0,419;2024-08-08 03:20:00
"1114";0,755;0,419;2024-08-08 03:30:00
"1115";0,756;0,419;2024-08-08 03:40:00
"1116";0,761;0,419;2024-08-08 03:50:00
"1117";0,771;0,422;2024-08-08 04:00:00
"1118";0,775;0,422;2024-08-08 04:10:00
"1119";0,778;0,422;2024-08-08 04:20:00
"1120";0,779;0,422;2024-08-08 04:30:00
"1121";0,78;0,422;2024-08-08 04:40:00
"1122";0,78;0,422;2024-08-08 04:50:00
"1123";0,779;0,422;2024-08-08 05:00:00
"1124";0,78;0,422;2024-08-08 05:10:00
"1125";0,778;0,422;2024-08-08 05:20:00
"1126";0,773;0,422;2024-08-08 05:30:00
"1127";0,762;0,419;2024-08-08 05:40:00
"1128";0,753;0,419;2024-08-08 05:50:00
"1129";0,743;0,416;2024-08-08 06:00:00
"1130";0,738;0,416;2024-08-08 06:10:00
"1131";0,735;0,416;2024-08-08 06:20:00
"1132";0,734;0,416;2024-08-08 06:30:00
"1133";0,733;0,416;2024-08-08 06:40:00
"1134";0,732;0,416;2024-08-08 06:50:00
"1135";0,734;0,416;2024-08-08 07:00:00
"1136";0,742;0,419;2024-08-08 07:10:00
"1137";0,747;0,419;2024-08-08 07:20:00
"1138";0,751;0,419;2024-08-08 07:30:00
"1139";0,754;0,419;2024-08-08 07:40:00
"1140";0,755;0,419;2024-08-08 07:50:00
"1141";0,756;0,419;2024-08-08 08:00:00
"1142";0,755;0,419;2024-08-08 08:10:00
"1143";0,337;0;2024-08-08 08:20:00
"1144";0,759;0,422;2024-08-08 08:30:00
"1145";0,773;0,436;2024-08-08 08:40:00
"1146";0,773;0,436;2024-08-08 08:50:00
"1147";0,776;0,439;2024-08-08 09:00:00
"1148";0,777;0,439;2024-08-08 09:10:00
"1149";0,792;0,453;2024-08-08 09:20:00
"1150";0,8;0,461;2024-08-08 09:30:00
"1151";0,783;0,443;2024-08-08 09:40:00
"1152";0,777;0,436;2024-08-08 09:50:00
"1153";0,777;0,436;2024-08-08 10:00:00
"1154";0,777;0,436;2024-08-08 10:10:00
"1155";0,777;0,436;2024-08-08 10:20:00
"1156";0,772;0,432;2024-08-08 10:30:00
"1157";0,776;0,436;2024-08-08 10:40:00
"1158";0,776;0,436;2024-08-08 10:50:00
"1159";0,772;0,432;2024-08-08 11:00:00
"1160";0,772;0,432;2024-08-08 11:10:00
"1161";0,774;0,436;2024-08-08 11:20:00
"1162";0,774;0,436;2024-08-08 11:30:00
"1163";0,774;0,436;2024-08-08 11:40:00
"1164";0,773;0,436;2024-08-08 11:50:00
"1165";0,772;0,436;2024-08-08 12:00:00
"1166";0,763;0,432;2024-08-08 12:10:00
"1167";0,755;0,432;2024-08-08 12:20:00
"1168";0,749;0,432;2024-08-08 12:30:00
"1169";0,743;0,432;2024-08-08 12:40:00
"1170";0,738;0,432;2024-08-08 12:50:00
"1171";0,733;0,429;2024-08-08 13:00:00
"1172";0,734;0,432;2024-08-08 13:10:00
"1173";0,73;0,429;2024-08-08 13:20:00
"1174";0,733;0,429;2024-08-08 13:30:00
"1175";0,741;0,432;2024-08-08 13:40:00
"1176";0,748;0,432;2024-08-08 13:50:00
"1177";0,752;0,432;2024-08-08 14:00:00
"1178";0,76;0,436;2024-08-08 14:10:00
"1179";0,759;0,432;2024-08-08 14:20:00
"1180";0,758;0,432;2024-08-08 14:30:00
"1181";0,76;0,432;2024-08-08 14:40:00
"1182";0,764;0,436;2024-08-08 14:50:00
"1183";0,76;0,432;2024-08-08 15:00:00
"1184";0,76;0,432;2024-08-08 15:10:00
"1185";0,76;0,432;2024-08-08 15:20:00
"1186";0,76;0,432;2024-08-08 15:30:00
"1187";0,76;0,432;2024-08-08 15:40:00
"1188";0,76;0,432;2024-08-08 15:50:00
"1189";0,761;0,432;2024-08-08 16:00:00
"1190";0,761;0,432;2024-08-08 16:10:00
"1191";0,759;0,432;2024-08-08 16:20:00
"1192";0,758;0,432;2024-08-08 16:30:00
"1193";0,758;0,432;2024-08-08 16:40:00
"1194";0,755;0,432;2024-08-08 16:50:00
"1195";0,751;0,432;2024-08-08 17:00:00
"1196";0,743;0,432;2024-08-08 17:10:00
"1197";0,733;0,429;2024-08-08 17:20:00
"1198";0,727;0,429;2024-08-08 17:30:00
"1199";0,724;0,429;2024-08-08 17:40:00
"1200";0,721;0,429;2024-08-08 17:50:00
"1201";0,72;0,429;2024-08-08 18:00:00
"1202";0,718;0,429;2024-08-08 18:10:00
"1203";0,717;0,429;2024-08-08 18:20:00
"1204";0,717;0,429;2024-08-08 18:30:00
"1205";0,717;0,429;2024-08-08 18:40:00
"1206";0,716;0,429;2024-08-08 18:50:00
"1207";0,718;0,429;2024-08-08 19:00:00
"1208";0,721;0,429;2024-08-08 19:10:00
"1209";0,729;0,432;2024-08-08 19:20:00
"1210";0,737;0,432;2024-08-08 19:30:00
"1211";0,742;0,432;2024-08-08 19:40:00
"1212";0,745;0,432;2024-08-08 19:50:00
"1213";0,748;0,432;2024-08-08 20:00:00
"1214";0,749;0,432;2024-08-08 20:10:00
"1215";0,75;0,432;2024-08-08 20:20:00
"1216";0,751;0,432;2024-08-08 20:30:00
"1217";0,751;0,432;2024-08-08 20:40:00
"1218";0,751;0,432;2024-08-08 20:50:00
"1219";0,752;0,432;2024-08-08 21:00:00
"1220";0,752;0,432;2024-08-08 21:10:00
"1221";0,749;0,432;2024-08-08 21:20:00
"1222";0,744;0,432;2024-08-08 21:30:00
"1223";0,735;0,429;2024-08-08 21:40:00
"1224";0,728;0,429;2024-08-08 21:50:00
"1225";0,723;0,429;2024-08-08 22:00:00
"1226";0,72;0,429;2024-08-08 22:10:00
"1227";0,718;0,429;2024-08-08 22:20:00
"1228";0,717;0,429;2024-08-08 22:30:00
"1229";0,716;0,429;2024-08-08 22:40:00
"1230";0,716;0,429;2024-08-08 22:50:00
"1231";0,716;0,429;2024-08-08 23:00:00
"1232";0,716;0,429;2024-08-08 23:10:00
"1233";0,717;0,429;2024-08-08 23:20:00
"1234";0,72;0,429;2024-08-08 23:30:00
"1235";0,725;0,429;2024-08-08 23:40:00
"1236";0,731;0,429;2024-08-08 23:50:00
"1237";0,735;0,429;2024-08-09
"1238";0,739;0,429;2024-08-09 00:10:00
"1239";0,744;0,432;2024-08-09 00:20:00
"1240";0,746;0,432;2024-08-09 00:30:00
"1241";0,745;0,432;2024-08-09 00:40:00
"1242";0,746;0,432;2024-08-09 00:50:00
"1243";0,746;0,432;2024-08-09 01:00:00
"1244";0,747;0,432;2024-08-09 01:10:00
"1245";0,747;0,432;2024-08-09 01:20:00
"1246";0,747;0,432;2024-08-09 01:30:00
"1247";0,748;0,432;2024-08-09 01:40:00
"1248";0,746;0,429;2024-08-09 01:50:00
"1249";0,745;0,429;2024-08-09 02:00:00
"1250";0,749;0,432;2024-08-09 02:10:00
"1251";0,746;0,429;2024-08-09 02:20:00
"1252";0,746;0,429;2024-08-09 02:30:00
"1253";0,745;0,429;2024-08-09 02:40:00
"1254";0,745;0,429;2024-08-09 02:50:00
"1255";0,745;0,429;2024-08-09 03:00:00
"1256";0,745;0,429;2024-08-09 03:10:00
"1257";0,745;0,429;2024-08-09 03:20:00
"1258";0,745;0,429;2024-08-09 03:30:00
"1259";0,745;0,429;2024-08-09 03:40:00
"1260";0,745;0,429;2024-08-09 03:50:00
"1261";0,744;0,429;2024-08-09 04:00:00
"1262";0,744;0,429;2024-08-09 04:10:00
"1263";0,744;0,429;2024-08-09 04:20:00
"1264";0,743;0,429;2024-08-09 04:30:00
"1265";0,743;0,429;2024-08-09 04:40:00
"1266";0,746;0,432;2024-08-09 04:50:00
"1267";0,746;0,432;2024-08-09 05:00:00
"1268";0,743;0,429;2024-08-09 05:10:00
"1269";0,746;0,432;2024-08-09 05:20:00
"1270";0,747;0,432;2024-08-09 05:30:00
"1271";0,744;0,429;2024-08-09 05:40:00
"1272";0,747;0,432;2024-08-09 05:50:00
"1273";0,743;0,429;2024-08-09 06:00:00
"1274";0,743;0,429;2024-08-09 06:10:00
"1275";0,744;0,429;2024-08-09 06:20:00
"1276";0,744;0,429;2024-08-09 06:30:00
"1277";0,743;0,429;2024-08-09 06:40:00
"1278";0,744;0,429;2024-08-09 06:50:00
"1279";0,744;0,429;2024-08-09 07:00:00
"1280";0,743;0,429;2024-08-09 07:10:00
"1281";0,743;0,429;2024-08-09 07:20:00
"1282";0,743;0,429;2024-08-09 07:30:00
"1283";0,743;0,429;2024-08-09 07:40:00
"1284";0,744;0,429;2024-08-09 07:50:00
"1285";0,744;0,429;2024-08-09 08:00:00
"1286";0,743;0,429;2024-08-09 08:10:00
"1287";0,743;0,429;2024-08-09 08:20:00
"1288";0,743;0,429;2024-08-09 08:30:00
"1289";0,743;0,429;2024-08-09 08:40:00
"1290";0,743;0,429;2024-08-09 08:50:00
"1291";0,743;0,429;2024-08-09 09:00:00
"1292";0,743;0,429;2024-08-09 09:10:00
"1293";0,742;0,429;2024-08-09 09:20:00
"1294";0,742;0,429;2024-08-09 09:30:00
"1295";0,742;0,429;2024-08-09 09:40:00
"1296";0,742;0,429;2024-08-09 09:50:00
"1297";0,742;0,429;2024-08-09 10:00:00
"1298";0,741;0,429;2024-08-09 10:10:00
"1299";0,741;0,429;2024-08-09 10:20:00
"1300";0,741;0,429;2024-08-09 10:30:00
"1301";0,741;0,429;2024-08-09 10:40:00
"1302";0,74;0,429;2024-08-09 10:50:00
"1303";0,74;0,429;2024-08-09 11:00:00
"1304";0,739;0,429;2024-08-09 11:10:00
"1305";0,739;0,429;2024-08-09 11:20:00
"1306";0,739;0,429;2024-08-09 11:30:00
"1307";0,738;0,429;2024-08-09 11:40:00
"1308";0,74;0,432;2024-08-09 11:50:00
"1309";0,736;0,429;2024-08-09 12:00:00
"1310";0,736;0,429;2024-08-09 12:10:00
"1311";0,738;0,432;2024-08-09 12:20:00
"1312";0,733;0,429;2024-08-09 12:30:00
"1313";0,727;0,429;2024-08-09 12:40:00
"1314";0,721;0,429;2024-08-09 12:50:00
"1315";0,711;0,426;2024-08-09 13:00:00
"1316";0,707;0,426;2024-08-09 13:10:00
"1317";0,703;0,426;2024-08-09 13:20:00
"1318";0,7;0,426;2024-08-09 13:30:00
"1319";0,698;0,426;2024-08-09 13:40:00
"1320";0,697;0,426;2024-08-09 13:50:00
"1321";0,699;0,426;2024-08-09 14:00:00
"1322";0,704;0,426;2024-08-09 14:10:00
"1323";0,713;0,429;2024-08-09 14:20:00
"1324";0,715;0,429;2024-08-09 14:30:00
"1325";0,717;0,429;2024-08-09 14:40:00
"1326";0,719;0,429;2024-08-09 14:50:00
"1327";0,719;0,429;2024-08-09 15:00:00
"1328";0,72;0,429;2024-08-09 15:10:00
"1329";0,721;0,429;2024-08-09 15:20:00
"1330";0,72;0,429;2024-08-09 15:30:00
"1331";0,72;0,429;2024-08-09 15:40:00
"1332";0,719;0,429;2024-08-09 15:50:00
"1333";0,719;0,429;2024-08-09 16:00:00
"1334";0,718;0,429;2024-08-09 16:10:00
"1335";0,719;0,429;2024-08-09 16:20:00
"1336";0,72;0,429;2024-08-09 16:30:00
"1337";0,719;0,429;2024-08-09 16:40:00
"1338";0,718;0,429;2024-08-09 16:50:00
"1339";0,718;0,429;2024-08-09 17:00:00
"1340";0,717;0,429;2024-08-09 17:10:00
"1341";0,715;0,429;2024-08-09 17:20:00
"1342";0,711;0,429;2024-08-09 17:30:00
"1343";0,703;0,426;2024-08-09 17:40:00
"1344";0,697;0,426;2024-08-09 17:50:00
"1345";0,692;0,426;2024-08-09 18:00:00
"1346";0,689;0,426;2024-08-09 18:10:00
"1347";0,686;0,426;2024-08-09 18:20:00
"1348";0,684;0,426;2024-08-09 18:30:00
"1349";0,682;0,426;2024-08-09 18:40:00
"1350";0,681;0,426;2024-08-09 18:50:00
"1351";0,677;0,422;2024-08-09 19:00:00
"1352";0,682;0,426;2024-08-09 19:10:00
"1353";0,685;0,426;2024-08-09 19:20:00
"1354";0,69;0,426;2024-08-09 19:30:00
"1355";0,695;0,426;2024-08-09 19:40:00
"1356";0,703;0,429;2024-08-09 19:50:00
"1357";0,706;0,429;2024-08-09 20:00:00
"1358";0,709;0,429;2024-08-09 20:10:00
"1359";0,71;0,429;2024-08-09 20:20:00
"1360";0,712;0,429;2024-08-09 20:30:00
"1361";0,713;0,429;2024-08-09 20:40:00
"1362";0,713;0,429;2024-08-09 20:50:00
"1363";0,714;0,429;2024-08-09 21:00:00
"1364";0,714;0,429;2024-08-09 21:10:00
"1365";0,714;0,429;2024-08-09 21:20:00
"1366";0,712;0,429;2024-08-09 21:30:00
"1367";0,708;0,429;2024-08-09 21:40:00
"1368";0,703;0,429;2024-08-09 21:50:00
"1369";0,694;0,426;2024-08-09 22:00:00
"1370";0,691;0,426;2024-08-09 22:10:00
"1371";0,688;0,426;2024-08-09 22:20:00
"1372";0,685;0,426;2024-08-09 22:30:00
"1373";0,684;0,426;2024-08-09 22:40:00
"1374";0,682;0,426;2024-08-09 22:50:00
"1375";0,681;0,426;2024-08-09 23:00:00
"1376";0,682;0,426;2024-08-09 23:10:00
"1377";0,684;0,426;2024-08-09 23:20:00
"1378";0,687;0,426;2024-08-09 23:30:00
"1379";0,69;0,426;2024-08-09 23:40:00
"1380";0,694;0,426;2024-08-09 23:50:00
"1381";0,7;0,429;2024-08-10
"1382";0,701;0,429;2024-08-10 00:10:00
"1383";0,703;0,429;2024-08-10 00:20:00
"1384";0,705;0,429;2024-08-10 00:30:00
"1385";0,705;0,429;2024-08-10 00:40:00
"1386";0,704;0,426;2024-08-10 00:50:00
"1387";0,704;0,426;2024-08-10 01:00:00
"1388";0,708;0,429;2024-08-10 01:10:00
"1389";0,708;0,429;2024-08-10 01:20:00
"1390";0,709;0,429;2024-08-10 01:30:00
"1391";0,709;0,429;2024-08-10 01:40:00
"1392";0,709;0,429;2024-08-10 01:50:00
"1393";0,709;0,429;2024-08-10 02:00:00
"1394";0,71;0,429;2024-08-10 02:10:00
"1395";0,71;0,429;2024-08-10 02:20:00
"1396";0,71;0,429;2024-08-10 02:30:00
"1397";0,711;0,429;2024-08-10 02:40:00
"1398";0,711;0,429;2024-08-10 02:50:00
"1399";0,712;0,429;2024-08-10 03:00:00
"1400";0,709;0,426;2024-08-10 03:10:00
"1401";0,712;0,429;2024-08-10 03:20:00
"1402";0,712;0,429;2024-08-10 03:30:00
"1403";0,712;0,429;2024-08-10 03:40:00
"1404";0,713;0,429;2024-08-10 03:50:00
"1405";0,713;0,429;2024-08-10 04:00:00
"1406";0,713;0,429;2024-08-10 04:10:00
"1407";0,714;0,429;2024-08-10 04:20:00
"1408";0,714;0,429;2024-08-10 04:30:00
"1409";0,714;0,429;2024-08-10 04:40:00
"1410";0,711;0,426;2024-08-10 04:50:00
"1411";0,714;0,429;2024-08-10 05:00:00
"1412";0,714;0,429;2024-08-10 05:10:00
"1413";0,714;0,429;2024-08-10 05:20:00
"1414";0,712;0,426;2024-08-10 05:30:00
"1415";0,716;0,429;2024-08-10 05:40:00
"1416";0,719;0,429;2024-08-10 05:50:00
"1417";0,724;0,429;2024-08-10 06:00:00
"1418";0,73;0,429;2024-08-10 06:10:00
"1419";0,735;0,429;2024-08-10 06:20:00
"1420";0,738;0,429;2024-08-10 06:30:00
"1421";0,739;0,429;2024-08-10 06:40:00
"1422";0,744;0,432;2024-08-10 06:50:00
"1423";0,744;0,432;2024-08-10 07:00:00
"1424";0,744;0,432;2024-08-10 07:10:00
"1425";0,745;0,432;2024-08-10 07:20:00
"1426";0,742;0,429;2024-08-10 07:30:00
"1427";0,742;0,429;2024-08-10 07:40:00
"1428";0,745;0,432;2024-08-10 07:50:00
"1429";0,742;0,429;2024-08-10 08:00:00
"1430";0,743;0,429;2024-08-10 08:10:00
"1431";0,742;0,429;2024-08-10 08:20:00
"1432";0,74;0,429;2024-08-10 08:30:00
"1433";0,734;0,429;2024-08-10 08:40:00
"1434";0,724;0,429;2024-08-10 08:50:00
"1435";0,713;0,426;2024-08-10 09:00:00
"1436";0,707;0,426;2024-08-10 09:10:00
"1437";0,696;0,422;2024-08-10 09:20:00
"1438";0,695;0,426;2024-08-10 09:30:00
"1439";0,688;0,422;2024-08-10 09:40:00
"1440";0,687;0,422;2024-08-10 09:50:00
"1441";0,686;0,422;2024-08-10 10:00:00
"1442";0,69;0,426;2024-08-10 10:10:00
"1443";0,691;0,426;2024-08-10 10:20:00
"1444";0,693;0,426;2024-08-10 10:30:00
"1445";0,694;0,426;2024-08-10 10:40:00
"1446";0,697;0,426;2024-08-10 10:50:00
"1447";0,699;0,426;2024-08-10 11:00:00
"1448";0,702;0,426;2024-08-10 11:10:00
"1449";0,706;0,429;2024-08-10 11:20:00
"1450";0,707;0,429;2024-08-10 11:30:00
"1451";0,709;0,429;2024-08-10 11:40:00
"1452";0,71;0,429;2024-08-10 11:50:00
"1453";0,711;0,429;2024-08-10 12:00:00
"1454";0,713;0,429;2024-08-10 12:10:00
"1455";0,713;0,429;2024-08-10 12:20:00
"1456";0,713;0,429;2024-08-10 12:30:00
"1457";0,714;0,429;2024-08-10 12:40:00
"1458";0,714;0,429;2024-08-10 12:50:00
"1459";0,714;0,429;2024-08-10 13:00:00
"1460";0,715;0,429;2024-08-10 13:10:00
"1461";0,715;0,429;2024-08-10 13:20:00
"1462";0,715;0,429;2024-08-10 13:30:00
"1463";0,714;0,429;2024-08-10 13:40:00
"1464";0,717;0,432;2024-08-10 13:50:00
"1465";0,714;0,429;2024-08-10 14:00:00
"1466";0,714;0,429;2024-08-10 14:10:00
"1467";0,713;0,429;2024-08-10 14:20:00
"1468";0,713;0,429;2024-08-10 14:30:00
"1469";0,719;0,436;2024-08-10 14:40:00
"1470";0,735;0,453;2024-08-10 14:50:00
"1471";0,75;0,471;2024-08-10 15:00:00
"1472";0,716;0,439;2024-08-10 15:10:00
"1473";0,709;0,436;2024-08-10 15:20:00
"1474";0,705;0,436;2024-08-10 15:30:00
"1475";0,702;0,436;2024-08-10 15:40:00
"1476";0,699;0,436;2024-08-10 15:50:00
"1477";0,697;0,436;2024-08-10 16:00:00
"1478";0,691;0,432;2024-08-10 16:10:00
"1479";0,691;0,432;2024-08-10 16:20:00
"1480";0,69;0,432;2024-08-10 16:30:00
"1481";0,69;0,432;2024-08-10 16:40:00
"1482";0,691;0,432;2024-08-10 16:50:00
"1483";0,695;0,436;2024-08-10 17:00:00
"1484";0,692;0,432;2024-08-10 17:10:00
"1485";0,693;0,432;2024-08-10 17:20:00
"1486";0,693;0,432;2024-08-10 17:30:00
"1487";0,698;0,436;2024-08-10 17:40:00
"1488";0,698;0,436;2024-08-10 17:50:00
"1489";0,694;0,432;2024-08-10 18:00:00
"1490";0,698;0,436;2024-08-10 18:10:00
"1491";0,699;0,436;2024-08-10 18:20:00
"1492";0,699;0,436;2024-08-10 18:30:00
"1493";0,699;0,436;2024-08-10 18:40:00
"1494";0,695;0,432;2024-08-10 18:50:00
"1495";0,699;0,436;2024-08-10 19:00:00
"1496";0,699;0,436;2024-08-10 19:10:00
"1497";0,699;0,436;2024-08-10 19:20:00
"1498";0,694;0,432;2024-08-10 19:30:00
"1499";0,696;0,436;2024-08-10 19:40:00
"1500";0,69;0,432;2024-08-10 19:50:00
"1501";0,687;0,432;2024-08-10 20:00:00
"1502";0,685;0,432;2024-08-10 20:10:00
"1503";0,682;0,432;2024-08-10 20:20:00
"1504";0,68;0,432;2024-08-10 20:30:00
"1505";0,679;0,432;2024-08-10 20:40:00
"1506";0,678;0,432;2024-08-10 20:50:00
"1507";0,677;0,432;2024-08-10 21:00:00
"1508";0,678;0,432;2024-08-10 21:10:00
"1509";0,681;0,432;2024-08-10 21:20:00
"1510";0,687;0,436;2024-08-10 21:30:00
"1511";0,685;0,432;2024-08-10 21:40:00
"1512";0,691;0,436;2024-08-10 21:50:00
"1513";0,693;0,436;2024-08-10 22:00:00
"1514";0,695;0,436;2024-08-10 22:10:00
"1515";0,696;0,436;2024-08-10 22:20:00
"1516";0,697;0,436;2024-08-10 22:30:00
"1517";0,696;0,436;2024-08-10 22:40:00
"1518";0,696;0,436;2024-08-10 22:50:00
"1519";0,696;0,436;2024-08-10 23:00:00
"1520";0,694;0,436;2024-08-10 23:10:00
"1521";0,692;0,436;2024-08-10 23:20:00
"1522";0,69;0,436;2024-08-10 23:30:00
"1523";0,688;0,436;2024-08-10 23:40:00
"1524";0,682;0,432;2024-08-10 23:50:00
"1525";0,685;0,436;2024-08-11
"1526";0,681;0,432;2024-08-11 00:10:00
"1527";0,68;0,432;2024-08-11 00:20:00
"1528";0,684;0,436;2024-08-11 00:30:00
"1529";0,685;0,436;2024-08-11 00:40:00
"1530";0,681;0,432;2024-08-11 00:50:00
"1531";0,686;0,436;2024-08-11 01:00:00
"1532";0,688;0,436;2024-08-11 01:10:00
"1533";0,69;0,436;2024-08-11 01:20:00
"1534";0,692;0,436;2024-08-11 01:30:00
"1535";0,693;0,436;2024-08-11 01:40:00
"1536";0,694;0,436;2024-08-11 01:50:00
"1537";0,695;0,436;2024-08-11 02:00:00
"1538";0,695;0,436;2024-08-11 02:10:00
"1539";0,696;0,436;2024-08-11 02:20:00
"1540";0,697;0,436;2024-08-11 02:30:00
"1541";0,697;0,436;2024-08-11 02:40:00
"1542";0,698;0,436;2024-08-11 02:50:00
"1543";0,699;0,436;2024-08-11 03:00:00
"1544";0,7;0,436;2024-08-11 03:10:00
"1545";0,701;0,436;2024-08-11 03:20:00
"1546";0,701;0,436;2024-08-11 03:30:00
"1547";0,703;0,436;2024-08-11 03:40:00
"1548";0,705;0,436;2024-08-11 03:50:00
"1549";0,707;0,436;2024-08-11 04:00:00
"1550";0,709;0,436;2024-08-11 04:10:00
