"","X","siteID","Datetimei","Datetimed","Datetimeg","durationd","durationg","event"
"1",1,"Site-01","2024-02-05 10:00:00","2024-02-27 10:36:00",NA,22.025,Inf,1
"2",2,"Site-02","2024-02-05 10:15:00","2024-02-27 10:46:00",NA,22.0215277777778,Inf,1
"3",3,"Site-03","2024-02-05 10:30:00","2024-02-27 10:56:00",NA,22.0180555555556,Inf,1
"4",4,"Site-04","2024-02-05 10:45:00","2024-02-27 11:06:00",NA,22.0145833333333,Inf,1
"5",5,"Site-05","2024-02-05 11:00:00","2024-02-27 11:16:00",NA,22.0111111111111,Inf,1
"6",6,"Site-06","2024-02-05 11:15:00","2024-02-13 12:29:00","2024-02-14 12:59:00",8.05138888888889,9.07222222222222,1
"7",7,"Site-07","2024-02-05 11:30:00","2024-02-27 11:36:00",NA,22.0041666666667,Inf,1
"8",8,"Site-08","2024-02-05 11:45:00","2024-02-12 13:15:00","2024-02-13 12:39:00",7.0625,8.0375,1
"9",9,"Site-09","2024-02-05 12:00:00","2024-02-07 13:02:00","2024-02-08 12:45:00",2.04305555555556,3.03125,1
"10",10,"Site-10","2024-02-05 12:15:00","2024-02-27 12:06:00",NA,21.99375,Inf,1
"11",11,"Site-11","2024-02-05 12:30:00","2024-02-13 12:50:00","2024-02-14 13:14:00",8.01388888888889,9.03055555555556,1
"12",12,"Site-12","2024-02-05 12:45:00","2024-02-27 12:36:00",NA,21.99375,Inf,1
"13",13,"Site-13","2024-02-05 13:00:00","2024-02-27 12:56:00",NA,21.9972222222222,Inf,1
"14",14,"Site-14","2024-02-05 13:15:00","2024-02-27 13:16:00",NA,22.0006944444444,Inf,1
"15",15,"Site-15","2024-02-05 13:30:00","2024-02-27 13:36:00",NA,22.0041666666667,Inf,1
"16",16,"Site-16","2024-02-05 13:45:00","2024-02-27 13:56:00",NA,22.0076388888889,Inf,1
"17",17,"Site-17","2024-02-05 14:00:00","2024-02-27 14:16:00",NA,22.0111111111111,Inf,1
"18",18,"Site-18","2024-02-05 14:15:00","2024-02-27 14:36:00",NA,22.0145833333333,Inf,1
"19",19,"Site-19","2024-02-05 14:30:00","2024-02-27 14:56:00",NA,22.0180555555556,Inf,1
"20",20,"Site-20","2024-02-05 14:45:00","2024-02-27 15:16:00",NA,22.0215277777778,Inf,1
"21",21,"Site-21","2024-02-05 15:00:00","2024-02-18 14:18:00","2024-02-19 14:18:00",12.9708333333333,13.9708333333333,1
"22",22,"Site-22","2024-02-05 15:15:00","2024-02-12 14:12:00","2024-02-13 13:28:00",6.95625,7.92569444444444,1
"23",23,"Site-23","2024-02-05 15:30:00","2024-02-18 14:30:00","2024-02-19 14:30:00",12.9583333333333,13.9583333333333,1
"24",24,"Site-24","2024-02-05 15:45:00","2024-02-27 16:20:00",NA,22.0243055555556,Inf,1
"25",25,"Site-25","2024-02-05 16:00:00","2024-02-27 16:30:00",NA,22.0208333333333,Inf,1
"26",26,"Site-26","2024-02-05 16:15:00","2024-02-27 16:40:00",NA,22.0173611111111,Inf,1
"27",27,"Site-27","2024-02-05 16:30:00","2024-02-10 13:57:00","2024-02-11 13:55:00",4.89375,5.89236111111111,1
"28",28,"Site-28","2024-02-05 16:45:00","2024-02-27 17:00:00",NA,22.0104166666667,Inf,1
"29",29,"Site-29","2024-02-05 17:00:00","2024-02-11 14:07:00","2024-02-12 14:51:00",5.87986111111111,6.91041666666667,1
"30",30,"Site-30","2024-02-05 17:15:00","2024-02-05 17:15:00","2024-02-06 16:50:00",0,0.982638888888889,1
"31",31,"Site-31","2024-02-05 17:30:00","2024-02-05 17:30:00","2024-02-06 17:00:00",0,0.979166666666667,1
"32",32,"Site-32","2024-02-05 17:45:00","2024-02-27 17:40:00",NA,21.9965277777778,Inf,1
"33",33,"Site-33","2024-02-05 18:00:00","2024-02-10 14:23:00","2024-02-11 14:30:00",4.84930555555556,5.85416666666667,1
"34",34,"Site-34","2024-02-06 10:00:00","2024-02-27 18:00:00",NA,21.3333333333333,Inf,1
"35",35,"Site-35","2024-02-06 10:15:00","2024-02-27 18:10:00",NA,21.3298611111111,Inf,1
"36",36,"Site-36","2024-02-06 10:30:00","2024-02-27 18:20:00",NA,21.3263888888889,Inf,1
"37",37,"Site-37","2024-02-06 10:45:00","2024-02-12 15:39:00","2024-02-13 16:22:00",6.20416666666667,7.23402777777778,1
"38",38,"Site-38","2024-02-06 11:00:00","2024-02-18 16:32:00","2024-02-19 16:32:00",12.2305555555556,13.2305555555556,1
